hiany_id;hiany_eszkoznev;hiany_muszakicsop;hiany_muszakicsopnev
41253;MUNKASZÉK (DB);BU0605;Egyéb szék
144810;ÉJJELISZEKRÉNY (KR);BS9903;Éjjeli szekrény
144831;ÉJJELISZEKRÉNY (KR);BS9903;Éjjeli szekrény
144790;ÉJJELISZEKRÉNY (KR);BS9903;Éjjeli szekrény
147830;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb
147831;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb
147840;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb
147817;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb
147818;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb
147843;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb
147844;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb
147845;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb
147846;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb
147787;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb
147777;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb
147793;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb
147799;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb
147789;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb
147790;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb
147805;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb
147794;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb
147797;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb
147800;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb
246655;FAVÁZAS TÁMLÁSSZÉK SZÖVET KÁRPITTAL (DB);BU0601;Favázas támlásszék
144190;FÉMVÁZAS TÁMLÁSSZÉK KLF. (KR);BU0603;Fémvázas támlásszék
144277;FÉMVÁZAS TÁMLÁSSZÉK KLF. (KR);BU0603;Fémvázas támlásszék
144172;FÉMVÁZAS TÁMLÁSSZÉK KLF. (KR);BU0603;Fémvázas támlásszék
144239;FÉMVÁZAS TÁMLÁSSZÉK KLF. (KR);BU0603;Fémvázas támlásszék
144240;FÉMVÁZAS TÁMLÁSSZÉK KLF. (KR);BU0603;Fémvázas támlásszék
144267;FÉMVÁZAS TÁMLÁSSZÉK KLF. (KR);BU0603;Fémvázas támlásszék
143708;ÁGYNEMŰTARTÓS HEVERŐ (KR);BE0109;Heverő
143677;ÁGYNEMŰTARTÓS HEVERŐ (KR);BE0109;Heverő
134333;FORGATHATÓ KAROSSZÉK SZÖVET KÁRPIT (DB);BU0501;Irodai forgószék
150995;FORGÓSZÉK Klf. (DB);BU0501;Irodai forgószék
197835;ADJ-H32 L3/K2 rejtett lövedékálló mellén;EF0406;Rejtett viselésű lövedékálló mellény
35182;Álló ruhafogas;BE0201;Álló ruhafogas klf.
33483;Elválasztó paraván;BE0901;Elhelyezés kiegészítő eszközök
40026;Fotel;BU0101;Fotel klf.
41443;Görgős irattároló asztal melletti;BS0601;Alacsony fém görgős irattároló
34587;GÖRGŐS IRATSZEKRÉNY;BS0603;Görgős irattároló
46346;GÖRGŐS IRATSZEKRÉNY;BS0603;Görgős irattároló
34603;GÖRGŐS IRATSZEKRÉNY;BS0603;Görgős irattároló
35216;Telefon IP Cisco CP-7811 (sima);KT0300;IP telefon
35187;Telefon IP 7811 (sima);KT0300;IP telefon
35178;Telefon IP 7811 (sima);KT0300;IP telefon
34847;Telefon IP 7811 (sima);KT0300;IP telefon
35146;Telefon IP 7811 (sima);KT0300;IP telefon
34863;Telefon IP 7811 (sima);KT0300;IP telefon
34855;Telefon IP 7811 (sima);KT0300;IP telefon
35071;Telefon IP 7811 (sima);KT0300;IP telefon
35076;Telefon IP 7811 (sima);KT0300;IP telefon
35082;Telefon IP 7811 (sima);KT0300;IP telefon
34885;Telefon IP 7811 (sima);KT0300;IP telefon
34889;Telefon IP 7811 (sima);KT0300;IP telefon
34901;Telefon IP 7811 (sima);KT0300;IP telefon
46237;Telefon IP 7811 (sima);KT0300;IP telefon
34881;Telefon IP 7811 (sima);KT0300;IP telefon
34898;Telefon IP 7811 (sima);KT0300;IP telefon
34888;Telefon IP 7811 (sima);KT0300;IP telefon
34886;Telefon IP 7811 (sima);KT0300;IP telefon
34967;Telefon IP 7811 (sima);KT0300;IP telefon
34973;Telefon IP 7811 (sima);KT0300;IP telefon
34980;Telefon IP 7811 (sima);KT0300;IP telefon
35022;Telefon IP 7811 (sima);KT0300;IP telefon
35080;Telefon IP 7811 (sima);KT0300;IP telefon
35131;Telefon IP 7811 (sima);KT0300;IP telefon
33092;ÍRÓASZTAL;BA0302;Kisméretű íróasztal
33576;Irodai forgószék;BU0501;Irodai forgószék
33579;Irodai forgószék;BU0501;Irodai forgószék
33153;ÍRÓASZTAL;BA0302;Kisméretű íróasztal
479;EMELETESÁGY;BE0104;Emeletes ágy
715;Emeletes ágy;BE0113;Egyéb fekvőbútorok
646;Vízforraló  SENCOR;EH0501;Vízforraló
794;AN-UP 2016 L4/K2 külső löv.álló mellény;EF0402;Külső viselésű lövedékálló mellény
795;AN-UP 2016 L4/K2 külső löv.álló mellény;EF0402;Külső viselésű lövedékálló mellény
803;AN-UP 2016 L4/K2 külső löv.álló mellény;EF0402;Külső viselésű lövedékálló mellény
806;AN-UP 2016 L4/K2 külső löv.álló mellény;EF0402;Külső viselésű lövedékálló mellény
807;AN-UP 2016 L4/K2 külső löv.álló mellény;EF0402;Külső viselésű lövedékálló mellény
855;DEF-H42-K L4/K2 külsőt lövedékálló mellé;EF0402;Külső viselésű lövedékálló mellény
797;AN-UP 2016 L4/K2 külső löv.álló mellény;EF0402;Külső viselésű lövedékálló mellény
800;AN-UP 2016 L4/K2 külső löv.álló mellény;EF0402;Külső viselésű lövedékálló mellény
801;AN-UP 2016 L4/K2 külső löv.álló mellény;EF0402;Külső viselésű lövedékálló mellény
802;AN-UP 2016 L4/K2 külső löv.álló mellény;EF0402;Külső viselésű lövedékálló mellény
1083;FAVÁZAS TÁMLÁSSZÉK CSERESZNYE;BU0601;Favázas támlásszék
972;DELONGHI KÁVÉFŐZŐ;EH0103;Kávéfőző
923;Favázas támlásszék;BU0601;Favázas támlásszék
925;Favázas támlásszék;BU0601;Favázas támlásszék
926;Favázas támlásszék szövet kárpittal;BU0601;Favázas támlásszék
852;SAMSUNG TELEVÍZIÓ;KV0100;CRT TV (hagyományos televízió)
704;Íróasztal;BA0305;Nagyméretű íróasztal
566;2 AJTÓS IRATSZEKRÉNY cseresznye;BS0202;2. ajtós szekrény
496;Mikró hullámú sütő;EH0301;Beépíthető mikrohullámú sütő
273;Öltöző pad;BU0902;Öltöző pad
292;ÖLTÖZOPAD;BU0902;Öltöző pad
296;Öltözöpad;BU0902;Öltöző pad
300;Öltözöpad;BU0902;Öltöző pad
238;FAVÁZAS TÁMLÁSSZÉK KLF. (DB);BU0601;Favázas támlásszék
132;FEGYVERTÁMLA (DB);BS9905;Fegyverszekrény
73945;B_C_irodai FOTEL;BU0101;Fotel klf.
29644;EMELETESÁGY (DB);BE0104;Emeletes ágy
29640;EMELETESÁGY (DB);BE0104;Emeletes ágy
80200;Forgatható karosszék;BU0501;Irodai forgószék
80196;Vezetői forgószék;BU0701;Vezetői forgószék
28865;asztal sandta femvazas;BA9911;Telefon-rádió asztal
28853;ÉTKEZŐASZTAL (DB);BA0204;Étkező asztal klf. egyéb
25401;VIRÁGÁLLVÁNY RÉZ (DB);BE0316;Virágtartó
25372;ÍRÓASZTAL 118 CM-ES MAHAGÓNI (DB);BA0302;Kisméretű íróasztal
28424;ÍRÓASZTAL (DB);BA0307;Íróasztal klf. egyéb
51949;GÖRGŐS IRATSZEKRÉNY beige (DB);BS0603;Görgős irattároló
28172;GÖRGŐS IRATSZEKRÉNY BÜKK (DB);BS0603;Görgős irattároló
79206;Favázas támlásszék Bükk;BU0601;Favázas támlásszék
60571;VEZETŐI FORGÓSZÉK (DB);BU0701;Vezetői forgószék
85954;FORGATHATÓ KAROSSZÉK SZÖVET KÁRPIT (DB);BU0501;Irodai forgószék
85949; ÖLTÖZŐSZEKRÉNY 2 AJTÓS BÜKK;BS0801;Öltöző szekrény fa
85946;Mosogatószekrény;BS9920;Szekrény egyéb klf.
85944;Favázas támlásszék kárpitos;BU0601;Favázas támlásszék
85943;2 AJTÓS AKASZTÓS SZEKRÉNY BÜKK (DB);BS0203;2 ajtós akasztós szekrény
85942;2 AJTÓS AKASZTÓS SZEKRÉNY BÜKK (DB);BS0203;2 ajtós akasztós szekrény
85941;1 AJTÓS AKASZTÓS SZEKRÉNY MAHAGÓNI;BS0103;1 ajtós akasztós szekrény
85940;francia ágy;BE0108;Francia ágy
85939;FORGATHATÓ KAROSSZÉK SZÖVET KÁRPIT (DB);BU0501;Irodai forgószék
85938;NAGYMÉRETŰ ÍRÓASZTAL (DB);BA0305;Nagyméretű íróasztal
79079;LÉTRA (DB) 3x7 fokos;ES0503;Létra egyéb
85931;Virágtartó;BE0316;Virágtartó
85929;ÍRÓASZTAL 118 CM-ES MAHAGÓNI (DB);BA0302;Kisméretű íróasztal
85927;ÉTKEZŐASZTAL (DB);BA0204;Étkező asztal klf. egyéb
85925;ALUL ZÁRT FELÜL NYITOTT SZEKRÉNY TALIZMÁ;BS0202;2. ajtós szekrény
85924;ÁLLÓ RUHAFOGAS (DB);BE0201;Álló ruhafogas klf.
85922;FAVÁZAS KAROSSZÉK SZÖVET KÁRPITTAL (DB);BU0602;Favázas karosszék
85921;GÖRGŐS IRATSZEKRÉNY MAHAGÓNI (DB);BS0603;Görgős irattároló
85918;TELEFONASZTAL (DB);BA9911;Telefon-rádió asztal
85916;FRANCIAÁGY 2 ágybetéttel;BE0108;Francia ágy
88974;FAVÁZAS TÁMLÁSSZÉK KLF. (DB) cseresznye;BU0601;Favázas támlásszék
88973;FAVÁZAS TÁMLÁSSZÉK KLF. (DB) bükk;BU0601;Favázas támlásszék
88972;virágtartó mahagóni;BE0316;Virágtartó
88969;180 fokos ív mahagóni;BA0401;Íves elem klf.
88967;Nagyméretű íróasztal;BA0305;Nagyméretű íróasztal
88960;ÍRÓASZTAL 118 CM-ES MAHAGÓNI (DB);BA0302;Kisméretű íróasztal
88958;favázas támlásszék szövet kárpit;BU0601;Favázas támlásszék
88957;favázas támlásszék műanyag kárpit;BU0601;Favázas támlásszék
17;Madison Flanders fotel/KAROS;BU0101;Fotel klf.
40;HEVERO /SANDRA/;BE0109;Heverő
41;FORG.KAROSSZEK;BU0501;Irodai forgószék
43;FAVAZAS KANAPE;BU0202;Kanapé
