hiany_id;hiany_eszkoznev;hiany_muszakicsop;hiany_muszakicsopnev;tobblet_id;tobblet_eszkoznev;tobblet_muszakicsop;toblet_muszakicsopnev
41253;MUNKASZÉK (DB);BU0605;Egyéb szék;244213;Térdeplő szék;BU0605;Egyéb szék
41253;MUNKASZÉK (DB);BU0605;Egyéb szék;5042;szék karfás kárpitos;BU01;Szék
144810;ÉJJELISZEKRÉNY (KR);BS9903;Éjjeli szekrény;254328;éjjeliszekrény;BS9903;Éjjeli szekrény
144810;ÉJJELISZEKRÉNY (KR);BS9903;Éjjeli szekrény;27310;Éjjeli szekrény;BS9903;Éjjeli szekrény
144831;ÉJJELISZEKRÉNY (KR);BS9903;Éjjeli szekrény;254328;éjjeliszekrény;BS9903;Éjjeli szekrény
144831;ÉJJELISZEKRÉNY (KR);BS9903;Éjjeli szekrény;27310;Éjjeli szekrény;BS9903;Éjjeli szekrény
144790;ÉJJELISZEKRÉNY (KR);BS9903;Éjjeli szekrény;254328;éjjeliszekrény;BS9903;Éjjeli szekrény
144790;ÉJJELISZEKRÉNY (KR);BS9903;Éjjeli szekrény;27310;Éjjeli szekrény;BS9903;Éjjeli szekrény
147830;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb;253823;étkezőasztal 4;BA0201;Étkező asztal 4. személyes
147830;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb;253722;étkezőasztal;BA0201;Étkező asztal 4. személyes
147831;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb;253823;étkezőasztal 4;BA0201;Étkező asztal 4. személyes
147831;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb;253722;étkezőasztal;BA0201;Étkező asztal 4. személyes
147840;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb;253823;étkezőasztal 4;BA0201;Étkező asztal 4. személyes
147840;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb;253722;étkezőasztal;BA0201;Étkező asztal 4. személyes
147817;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb;253823;étkezőasztal 4;BA0201;Étkező asztal 4. személyes
147817;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb;253722;étkezőasztal;BA0201;Étkező asztal 4. személyes
147818;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb;253823;étkezőasztal 4;BA0201;Étkező asztal 4. személyes
147818;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb;253722;étkezőasztal;BA0201;Étkező asztal 4. személyes
147843;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb;253823;étkezőasztal 4;BA0201;Étkező asztal 4. személyes
147843;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb;253722;étkezőasztal;BA0201;Étkező asztal 4. személyes
147844;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb;253823;étkezőasztal 4;BA0201;Étkező asztal 4. személyes
147844;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb;253722;étkezőasztal;BA0201;Étkező asztal 4. személyes
147845;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb;253823;étkezőasztal 4;BA0201;Étkező asztal 4. személyes
147845;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb;253722;étkezőasztal;BA0201;Étkező asztal 4. személyes
147846;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb;253823;étkezőasztal 4;BA0201;Étkező asztal 4. személyes
147846;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb;253722;étkezőasztal;BA0201;Étkező asztal 4. személyes
147787;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb;253823;étkezőasztal 4;BA0201;Étkező asztal 4. személyes
147787;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb;253722;étkezőasztal;BA0201;Étkező asztal 4. személyes
147777;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb;253823;étkezőasztal 4;BA0201;Étkező asztal 4. személyes
147777;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb;253722;étkezőasztal;BA0201;Étkező asztal 4. személyes
147793;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb;253823;étkezőasztal 4;BA0201;Étkező asztal 4. személyes
147793;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb;253722;étkezőasztal;BA0201;Étkező asztal 4. személyes
147799;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb;253823;étkezőasztal 4;BA0201;Étkező asztal 4. személyes
147799;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb;253722;étkezőasztal;BA0201;Étkező asztal 4. személyes
147789;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb;253823;étkezőasztal 4;BA0201;Étkező asztal 4. személyes
147789;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb;253722;étkezőasztal;BA0201;Étkező asztal 4. személyes
147790;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb;253823;étkezőasztal 4;BA0201;Étkező asztal 4. személyes
147790;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb;253722;étkezőasztal;BA0201;Étkező asztal 4. személyes
147805;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb;253823;étkezőasztal 4;BA0201;Étkező asztal 4. személyes
147805;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb;253722;étkezőasztal;BA0201;Étkező asztal 4. személyes
147794;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb;253823;étkezőasztal 4;BA0201;Étkező asztal 4. személyes
147794;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb;253722;étkezőasztal;BA0201;Étkező asztal 4. személyes
147797;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb;253823;étkezőasztal 4;BA0201;Étkező asztal 4. személyes
147797;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb;253722;étkezőasztal;BA0201;Étkező asztal 4. személyes
147800;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb;253823;étkezőasztal 4;BA0201;Étkező asztal 4. személyes
147800;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb;253722;étkezőasztal;BA0201;Étkező asztal 4. személyes
143708;ÁGYNEMŰTARTÓS HEVERŐ (KR);BE0109;Heverő;31182;Ágyneműtartós Heverő;BE0109;Heverő
143708;ÁGYNEMŰTARTÓS HEVERŐ (KR);BE0109;Heverő;31181;Ágyneműtartós Heverő;BE0109;Heverő
143677;ÁGYNEMŰTARTÓS HEVERŐ (KR);BE0109;Heverő;31182;Ágyneműtartós Heverő;BE0109;Heverő
143677;ÁGYNEMŰTARTÓS HEVERŐ (KR);BE0109;Heverő;31181;Ágyneműtartós Heverő;BE0109;Heverő
197835;ADJ-H32 L3/K2 rejtett lövedékálló mellén;EF0406;Rejtett viselésű lövedékálló mellény;28803;ADJ-H32-K L3/K2 rejtett lövedékálló mell;EF0406;Rejtett viselésű lövedékálló mellény
197835;ADJ-H32 L3/K2 rejtett lövedékálló mellén;EF0406;Rejtett viselésű lövedékálló mellény;30409;ADJ-H32 L3/K2 REJTETT. LÖV. MELLÉNY;EF0406;Rejtett viselésű lövedékálló mellény
35182;Álló ruhafogas;BE0201;Álló ruhafogas klf.;46356;Álló ruhafogas;BE0201;Álló ruhafogas klf.
35182;Álló ruhafogas;BE0201;Álló ruhafogas klf.;28969;Álló ruhafogas;BE0201;Álló ruhafogas klf.
33483;Elválasztó paraván;BE0901;Elhelyezés kiegészítő eszközök;46349;Elválasztó paraván;BE0901;Elhelyezés kiegészítő eszközök
33483;Elválasztó paraván;BE0901;Elhelyezés kiegészítő eszközök;27150;Állványos elekt. kézfertőtlenítő adagoló;EL0000;Labortechnikai eszközök
40026;Fotel;BU0101;Fotel klf.;46369;FOTEL;BU0101;Fotel klf.
40026;Fotel;BU0101;Fotel klf.;1449;Fotel;BU0101;Fotel klf.
41443;Görgős irattároló asztal melletti;BS0601;Alacsony fém görgős irattároló;45756;Görgős iratszekrény;BS0604;Görgős irattároló asztal melletti
41443;Görgős irattároló asztal melletti;BS0601;Alacsony fém görgős irattároló;29937;Görgős irattároló;BS0603;Görgős irattároló
34587;GÖRGŐS IRATSZEKRÉNY;BS0603;Görgős irattároló;46352;GÖRGŐS IRATSZEKRÉNY;BS0603;Görgős irattároló
34587;GÖRGŐS IRATSZEKRÉNY;BS0603;Görgős irattároló;27038;GÖRGŐS IRATSZEKRÉNY;BS0603;Görgős irattároló
46346;GÖRGŐS IRATSZEKRÉNY;BS0603;Görgős irattároló;46352;GÖRGŐS IRATSZEKRÉNY;BS0603;Görgős irattároló
46346;GÖRGŐS IRATSZEKRÉNY;BS0603;Görgős irattároló;27038;GÖRGŐS IRATSZEKRÉNY;BS0603;Görgős irattároló
34603;GÖRGŐS IRATSZEKRÉNY;BS0603;Görgős irattároló;46352;GÖRGŐS IRATSZEKRÉNY;BS0603;Görgős irattároló
34603;GÖRGŐS IRATSZEKRÉNY;BS0603;Görgős irattároló;27038;GÖRGŐS IRATSZEKRÉNY;BS0603;Görgős irattároló
35216;Telefon IP Cisco CP-7811 (sima);KT0300;IP telefon;46316;Telefon IP Cisco CP-7811 (sima);KT0300;IP telefon
35216;Telefon IP Cisco CP-7811 (sima);KT0300;IP telefon;45723;IP telefon CP-7811;KT0300;IP telefon
35187;Telefon IP 7811 (sima);KT0300;IP telefon;45340;IP TELEFON 7811 (SIMA);KT0300;IP telefon
35187;Telefon IP 7811 (sima);KT0300;IP telefon;45329;Telefon IP 7811 (sima);KT0300;IP telefon
35178;Telefon IP 7811 (sima);KT0300;IP telefon;45340;IP TELEFON 7811 (SIMA);KT0300;IP telefon
35178;Telefon IP 7811 (sima);KT0300;IP telefon;45329;Telefon IP 7811 (sima);KT0300;IP telefon
34847;Telefon IP 7811 (sima);KT0300;IP telefon;45340;IP TELEFON 7811 (SIMA);KT0300;IP telefon
34847;Telefon IP 7811 (sima);KT0300;IP telefon;45329;Telefon IP 7811 (sima);KT0300;IP telefon
35146;Telefon IP 7811 (sima);KT0300;IP telefon;45340;IP TELEFON 7811 (SIMA);KT0300;IP telefon
35146;Telefon IP 7811 (sima);KT0300;IP telefon;45329;Telefon IP 7811 (sima);KT0300;IP telefon
34863;Telefon IP 7811 (sima);KT0300;IP telefon;45340;IP TELEFON 7811 (SIMA);KT0300;IP telefon
34863;Telefon IP 7811 (sima);KT0300;IP telefon;45329;Telefon IP 7811 (sima);KT0300;IP telefon
34855;Telefon IP 7811 (sima);KT0300;IP telefon;45340;IP TELEFON 7811 (SIMA);KT0300;IP telefon
34855;Telefon IP 7811 (sima);KT0300;IP telefon;45329;Telefon IP 7811 (sima);KT0300;IP telefon
35071;Telefon IP 7811 (sima);KT0300;IP telefon;45340;IP TELEFON 7811 (SIMA);KT0300;IP telefon
35071;Telefon IP 7811 (sima);KT0300;IP telefon;45329;Telefon IP 7811 (sima);KT0300;IP telefon
35076;Telefon IP 7811 (sima);KT0300;IP telefon;45340;IP TELEFON 7811 (SIMA);KT0300;IP telefon
35076;Telefon IP 7811 (sima);KT0300;IP telefon;45329;Telefon IP 7811 (sima);KT0300;IP telefon
35082;Telefon IP 7811 (sima);KT0300;IP telefon;45340;IP TELEFON 7811 (SIMA);KT0300;IP telefon
35082;Telefon IP 7811 (sima);KT0300;IP telefon;45329;Telefon IP 7811 (sima);KT0300;IP telefon
34885;Telefon IP 7811 (sima);KT0300;IP telefon;45340;IP TELEFON 7811 (SIMA);KT0300;IP telefon
34885;Telefon IP 7811 (sima);KT0300;IP telefon;45329;Telefon IP 7811 (sima);KT0300;IP telefon
34889;Telefon IP 7811 (sima);KT0300;IP telefon;45340;IP TELEFON 7811 (SIMA);KT0300;IP telefon
34889;Telefon IP 7811 (sima);KT0300;IP telefon;45329;Telefon IP 7811 (sima);KT0300;IP telefon
34901;Telefon IP 7811 (sima);KT0300;IP telefon;45340;IP TELEFON 7811 (SIMA);KT0300;IP telefon
34901;Telefon IP 7811 (sima);KT0300;IP telefon;45329;Telefon IP 7811 (sima);KT0300;IP telefon
46237;Telefon IP 7811 (sima);KT0300;IP telefon;45340;IP TELEFON 7811 (SIMA);KT0300;IP telefon
46237;Telefon IP 7811 (sima);KT0300;IP telefon;45329;Telefon IP 7811 (sima);KT0300;IP telefon
34881;Telefon IP 7811 (sima);KT0300;IP telefon;45340;IP TELEFON 7811 (SIMA);KT0300;IP telefon
34881;Telefon IP 7811 (sima);KT0300;IP telefon;45329;Telefon IP 7811 (sima);KT0300;IP telefon
34898;Telefon IP 7811 (sima);KT0300;IP telefon;45340;IP TELEFON 7811 (SIMA);KT0300;IP telefon
34898;Telefon IP 7811 (sima);KT0300;IP telefon;45329;Telefon IP 7811 (sima);KT0300;IP telefon
