hiany_id;hiany_eszkoznev;hiany_muszakicsop;hiany_muszakicsopnev;tobblet_id;tobblet_eszkoznev;tobblet_muszakicsop;toblet_muszakicsopnev
41253;MUNKASZÉK (DB);BU0605;Egyéb szék;244213;Térdeplő szék;BU0605;Egyéb szék
144810;ÉJJELISZEKRÉNY (KR);BS9903;Éjjeli szekrény;254233;éjjeli szekrény;BS9903;Éjjeli szekrény
144831;ÉJJELISZEKRÉNY (KR);BS9903;Éjjeli szekrény;254328;éjjeliszekrény;BS9903;Éjjeli szekrény
144790;ÉJJELISZEKRÉNY (KR);BS9903;Éjjeli szekrény;254121;éjjeli szekrény bükk;BS9903;Éjjeli szekrény
147830;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb;254230;étkező asztal 4 személyes bükk;BA0201;Étkező asztal 4. személyes
147831;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb;254240;étkezőasztal 4 személyes bükk;BA0201;Étkező asztal 4. személyes
147840;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb;254324;4 személyes étkezőasztal bükk;BA0201;Étkező asztal 4. személyes
147817;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb;254080;étkező asztal 4 személyes;BA0201;Étkező asztal 4. személyes
147818;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb;254090;étkezőasztal 4 személyes;BA0201;Étkező asztal 4. személyes
147843;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb;253734;asztal;BA0201;Étkező asztal 4. személyes
147844;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb;253742;4 szem. asztal;BA0201;Étkező asztal 4. személyes
147845;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb;253752;4 szem asztal;BA0201;Étkező asztal 4. személyes
147846;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb;253833;4 személyes asztal;BA0201;Étkező asztal 4. személyes
147787;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb;253722;étkezőasztal;BA0201;Étkező asztal 4. személyes
147777;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb;253606;étkező asztal;BA0201;Étkező asztal 4. személyes
147793;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb;253812;4 szem. étkezőasztal;BA0201;Étkező asztal 4. személyes
147799;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb;253883;étkezőasztal 4 szem.;BA0201;Étkező asztal 4. személyes
147789;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb;253772;4 szem étkezőasztal;BA0201;Étkező asztal 4. személyes
147790;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb;253782;4 szem. étkező asztal;BA0201;Étkező asztal 4. személyes
147805;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb;253953;étkezőasztal 4 szem;BA0201;Étkező asztal 4. személyes
147794;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb;253823;étkezőasztal 4;BA0201;Étkező asztal 4. személyes
147797;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb;253863;étkezőasztal 4 szem,;BA0201;Étkező asztal 4. személyes
147800;ÉTKEZŐASZTAL 60x80;BA0204;Étkező asztal klf. egyéb;253893;4 személyes étkezőasztal;BA0201;Étkező asztal 4. személyes
246655;FAVÁZAS TÁMLÁSSZÉK SZÖVET KÁRPITTAL (DB);BU0601;Favázas támlásszék;244360;Favázas támlásszékszövet kárpittal;BU0601;Favázas támlásszék
144190;FÉMVÁZAS TÁMLÁSSZÉK KLF. (KR);BU0603;Fémvázas támlásszék;253682;fémvázas szék;BU0601;Favázas támlásszék
144277;FÉMVÁZAS TÁMLÁSSZÉK KLF. (KR);BU0603;Fémvázas támlásszék;254144;fémvázas támlásszék;BU0603;Fémvázas támlásszék
144172;FÉMVÁZAS TÁMLÁSSZÉK KLF. (KR);BU0603;Fémvázas támlásszék;253601;fémvázas szék;BU0603;Fémvázas támlásszék
144239;FÉMVÁZAS TÁMLÁSSZÉK KLF. (KR);BU0603;Fémvázas támlásszék;253935;fémvázas szekrény;BU0603;Fémvázas támlásszék
144240;FÉMVÁZAS TÁMLÁSSZÉK KLF. (KR);BU0603;Fémvázas támlásszék;253944;fémvázas támlás szék;BU0603;Fémvázas támlásszék
144267;FÉMVÁZAS TÁMLÁSSZÉK KLF. (KR);BU0603;Fémvázas támlásszék;254084;fémvázasszék;BU0603;Fémvázas támlásszék
143708;ÁGYNEMŰTARTÓS HEVERŐ (KR);BE0109;Heverő;254147;egyszemélyes heverő;BE0109;Heverő
143677;ÁGYNEMŰTARTÓS HEVERŐ (KR);BE0109;Heverő;253988;heverő;BE0109;Heverő
134333;FORGATHATÓ KAROSSZÉK SZÖVET KÁRPIT (DB);BU0501;Irodai forgószék;246633;Irodai forgószék;BU0501;Irodai forgószék
150995;FORGÓSZÉK Klf. (DB);BU0501;Irodai forgószék;244477;Forgatható karosszék;BU0501;Irodai forgószék
197835;ADJ-H32 L3/K2 rejtett lövedékálló mellén;EF0406;Rejtett viselésű lövedékálló mellény;246215;ADJ-H32 L3/K2 rejtett löv.álló mellény;EF0402;Külső viselésű lövedékálló mellény
35182;Álló ruhafogas;BE0201;Álló ruhafogas klf.;46356;Álló ruhafogas;BE0201;Álló ruhafogas klf.
33483;Elválasztó paraván;BE0901;Elhelyezés kiegészítő eszközök;46349;Elválasztó paraván;BE0901;Elhelyezés kiegészítő eszközök
40026;Fotel;BU0101;Fotel klf.;46369;FOTEL;BU0101;Fotel klf.
41443;Görgős irattároló asztal melletti;BS0601;Alacsony fém görgős irattároló;46353;GÖRGŐS IRATSZEKRÉNY;BS0603;Görgős irattároló
34587;GÖRGŐS IRATSZEKRÉNY;BS0603;Görgős irattároló;46352;GÖRGŐS IRATSZEKRÉNY;BS0603;Görgős irattároló
46346;GÖRGŐS IRATSZEKRÉNY;BS0603;Görgős irattároló;45353;Görgős irattároló;BS0603;Görgős irattároló
34603;GÖRGŐS IRATSZEKRÉNY;BS0603;Görgős irattároló;45756;Görgős iratszekrény;BS0604;Görgős irattároló asztal melletti
35216;Telefon IP Cisco CP-7811 (sima);KT0300;IP telefon;46311;IP telefon;KT0300;IP telefon
35187;Telefon IP 7811 (sima);KT0300;IP telefon;46255;IP Telefon (ORFK);KT0300;IP telefon
35178;Telefon IP 7811 (sima);KT0300;IP telefon;45329;Telefon IP 7811 (sima);KT0300;IP telefon
34847;Telefon IP 7811 (sima);KT0300;IP telefon;46238;IP Telefon (sima);KT0300;IP telefon
35146;Telefon IP 7811 (sima);KT0300;IP telefon;45362;IP telefon;KT0300;IP telefon
34863;Telefon IP 7811 (sima);KT0300;IP telefon;45579;CISCO telefon;KT0300;IP telefon
34855;Telefon IP 7811 (sima);KT0300;IP telefon;45369;IP telefon, asztali;KT0300;IP telefon
35071;Telefon IP 7811 (sima);KT0300;IP telefon;45730;IP telefon SPA502G;KT0300;IP telefon
35076;Telefon IP 7811 (sima);KT0300;IP telefon;45735;CISCO asztali telefon IP;KT0300;IP telefon
35082;Telefon IP 7811 (sima);KT0300;IP telefon;45755;ASZTALI IP TELEFON CISCO;KT0300;IP telefon
34885;Telefon IP 7811 (sima);KT0300;IP telefon;45716;CISCO asztali telefon;KT0300;IP telefon
34889;Telefon IP 7811 (sima);KT0300;IP telefon;45721;ASCO asztali telefon;KT0300;IP telefon
34901;Telefon IP 7811 (sima);KT0300;IP telefon;45723;IP telefon CP-7811;KT0300;IP telefon
46237;Telefon IP 7811 (sima);KT0300;IP telefon;45582;CISCO;KT0300;IP telefon
34881;Telefon IP 7811 (sima);KT0300;IP telefon;45615;CISCO 7811 Telefon IP;KT0300;IP telefon
34898;Telefon IP 7811 (sima);KT0300;IP telefon;45722;ASCO asztali  telefon;KT0300;IP telefon
34888;Telefon IP 7811 (sima);KT0300;IP telefon;45719;Telefon IP 7811;KT0300;IP telefon
34886;Telefon IP 7811 (sima);KT0300;IP telefon;45717;CISCO asztali  telefon;KT0300;IP telefon
34967;Telefon IP 7811 (sima);KT0300;IP telefon;45734;CISCO sztali telefon IP;KT0300;IP telefon
34973;Telefon IP 7811 (sima);KT0300;IP telefon;45753;ASZTALI IP  TELEFON CISCO;KT0300;IP telefon
34980;Telefon IP 7811 (sima);KT0300;IP telefon;46083;Cisco IP Telefon 7811;KT0300;IP telefon
35022;Telefon IP 7811 (sima);KT0300;IP telefon;46316;Telefon IP Cisco CP-7811 (sima);KT0300;IP telefon
35080;Telefon IP 7811 (sima);KT0300;IP telefon;45743;CISCO asztali  telefon IP;KT0300;IP telefon
35131;Telefon IP 7811 (sima);KT0300;IP telefon;45340;IP TELEFON 7811 (SIMA);KT0300;IP telefon
33092;ÍRÓASZTAL;BA0302;Kisméretű íróasztal;46361;ÍRÓASZTAL;BA0307;Íróasztal klf. egyéb
33576;Irodai forgószék;BU0501;Irodai forgószék;45354;irodai forgószék;BU0501;Irodai forgószék
33579;Irodai forgószék;BU0501;Irodai forgószék;45751;FORGATHATÓ KAROSSZÉK;BU0501;Irodai forgószék
33153;ÍRÓASZTAL;BA0302;Kisméretű íróasztal;46355;ÍRÓASZTAL;BA0901;Írógépasztal különféle
479;EMELETESÁGY;BE0104;Emeletes ágy;926;EMELETES ÁGY;BE0104;Emeletes ágy
715;Emeletes ágy;BE0113;Egyéb fekvőbútorok;925;EMELETES ÁGY;BE0104;Emeletes ágy
646;Vízforraló  SENCOR;EH0501;Vízforraló;905;VÍZFORRALÓ SENCOR;SN0699;Multifunkciós nyomtató egyéb
794;AN-UP 2016 L4/K2 külső löv.álló mellény;EF0402;Külső viselésű lövedékálló mellény;957;AN-UP 2016 L4/K2 külső löv.álló mell. L;EF0402;Külső viselésű lövedékálló mellény
795;AN-UP 2016 L4/K2 külső löv.álló mellény;EF0402;Külső viselésű lövedékálló mellény;958;AN-UP 2016 L4/K2 külső löv.álló mell. XL;EF0402;Külső viselésű lövedékálló mellény
803;AN-UP 2016 L4/K2 külső löv.álló mellény;EF0402;Külső viselésű lövedékálló mellény;978;AN-UP 2016 L4/K2 külső löv.álló mell.M;EF0402;Külső viselésű lövedékálló mellény
806;AN-UP 2016 L4/K2 külső löv.álló mellény;EF0402;Külső viselésű lövedékálló mellény;981;AN-UP 2016 L4/K2 külső löv.álló mell.XL;EF0402;Külső viselésű lövedékálló mellény
807;AN-UP 2016 L4/K2 külső löv.álló mellény;EF0402;Külső viselésű lövedékálló mellény;982;AN-UP 2016 L4/K2 külső löv.álló mell.L;EF0402;Külső viselésű lövedékálló mellény
855;DEF-H42-K L4/K2 külsőt lövedékálló mellé;EF0402;Külső viselésű lövedékálló mellény;971;DEF-H42-K L4/K2 Külső Löv.mell 3XL;EF0402;Külső viselésű lövedékálló mellény
797;AN-UP 2016 L4/K2 külső löv.álló mellény;EF0402;Külső viselésű lövedékálló mellény;962;AN-UP 2016 L4/K2 külső löv.álló mell. M;EF0402;Külső viselésű lövedékálló mellény
800;AN-UP 2016 L4/K2 külső löv.álló mellény;EF0402;Külső viselésű lövedékálló mellény;966;AN-UP 2016 L4/K2 külső löv.álló mell.3XL;EF0402;Külső viselésű lövedékálló mellény
801;AN-UP 2016 L4/K2 külső löv.álló mellény;EF0402;Külső viselésű lövedékálló mellény;968;AN-UP 2016 L4/K2 külső löv.álló mell. S;EF0402;Külső viselésű lövedékálló mellény
802;AN-UP 2016 L4/K2 külső löv.álló mellény;EF0402;Külső viselésű lövedékálló mellény;977;AN-UP 2016 L4/K2 külső löv.álló mell.XXL;EF0402;Külső viselésű lövedékálló mellény
1083;FAVÁZAS TÁMLÁSSZÉK CSERESZNYE;BU0601;Favázas támlásszék;1105;FAVÁZAS TÁMLÁSSZÉK CSERESZNYE;BU0601;Favázas támlásszék
972;DELONGHI KÁVÉFŐZŐ;EH0103;Kávéfőző;1099;Délonghi kávéfőző;EH0103;Kávéfőző
923;Favázas támlásszék;BU0601;Favázas támlásszék;1106;Favázas támlásszék szövetkárpitta;BU0601;Favázas támlásszék
925;Favázas támlásszék;BU0601;Favázas támlásszék;1097;Favázas támlásszék;BU0601;Favázas támlásszék
