tobblet_id;tobblet_eszkoznev;tobblet_muszakicsop;toblet_muszakicsopnev
244213;Térdeplő szék;BU0605;Egyéb szék
254233;éjjeli szekrény;BS9903;Éjjeli szekrény
254328;éjjeliszekrény;BS9903;Éjjeli szekrény
254121;éjjeli szekrény bükk;BS9903;Éjjeli szekrény
254230;étkező asztal 4 személyes bükk;BA0201;Étkező asztal 4. személyes
254240;étkezőasztal 4 személyes bükk;BA0201;Étkező asztal 4. személyes
254324;4 személyes étkezőasztal bükk;BA0201;Étkező asztal 4. személyes
254080;étkező asztal 4 személyes;BA0201;Étkező asztal 4. személyes
254090;étkezőasztal 4 személyes;BA0201;Étkező asztal 4. személyes
253734;asztal;BA0201;Étkező asztal 4. személyes
253742;4 szem. asztal;BA0201;Étkező asztal 4. személyes
253752;4 szem asztal;BA0201;Étkező asztal 4. személyes
253833;4 személyes asztal;BA0201;Étkező asztal 4. személyes
253722;étkezőasztal;BA0201;Étkező asztal 4. személyes
253606;étkező asztal;BA0201;Étkező asztal 4. személyes
253812;4 szem. étkezőasztal;BA0201;Étkező asztal 4. személyes
253883;étkezőasztal 4 szem.;BA0201;Étkező asztal 4. személyes
253772;4 szem étkezőasztal;BA0201;Étkező asztal 4. személyes
253782;4 szem. étkező asztal;BA0201;Étkező asztal 4. személyes
253953;étkezőasztal 4 szem;BA0201;Étkező asztal 4. személyes
253823;étkezőasztal 4;BA0201;Étkező asztal 4. személyes
253863;étkezőasztal 4 szem,;BA0201;Étkező asztal 4. személyes
253893;4 személyes étkezőasztal;BA0201;Étkező asztal 4. személyes
244360;Favázas támlásszékszövet kárpittal;BU0601;Favázas támlásszék
253682;fémvázas szék;BU0601;Favázas támlásszék
254144;fémvázas támlásszék;BU0603;Fémvázas támlásszék
253601;fémvázas szék;BU0603;Fémvázas támlásszék
253935;fémvázas szekrény;BU0603;Fémvázas támlásszék
253944;fémvázas támlás szék;BU0603;Fémvázas támlásszék
254084;fémvázasszék;BU0603;Fémvázas támlásszék
